article_set_key,article_family_key,article_count,case_count,country_count,countries,mean_log_fine,std_log_fine,median_fine_eur,cross_border_eligible
6;7;13,12-14;6;7,3,1,1,HR,9.951457827847598,0.0,20981.78939034046,False
6;32,32;6,2,1,1,ES,12.033447437422064,0.0,168289.58509737512,False
6;30,30;6,2,1,1,FR,11.273178717941477,0.0,78681.71021377672,False
7;12;13;14;15;28;32;33,12-14;15;28;32;33;7,8,1,1,FR,13.352609138946098,0.0,629453.6817102138,False
7;12;13;14;15;21;32,12-14;15;21;32;7,7,1,1,FR,13.41973734195473,0.0,673158.3403895005,False
7;22,22;7,2,1,1,ES,9.219918167628718,0.0,10095.238095238095,False
7;12;13;15;17;26,12-14;15;17;26;7,6,1,1,FR,17.55231265197823,0.0,41963578.78068092,False
8,8,1,1,1,SI,8.76188086612573,0.0,6385.111710323574,False
82,82,1,1,1,FR,18.5142314753279,0.0,109806629.83425416,False
9,9,1,1,1,IT,7.649301565845994,0.0,2098.178939034046,False
9;32,32;9,2,1,1,DE,11.273178717941477,0.0,78681.71021377672,False
