variant,parameter,estimate,std_err,pvalue,converged,iterations
full,Intercept,4.295469625483479e-16,,,True,
full,has_employee_monitoring[T.True],0.32610941552173545,0.6074842312457795,0.5913922617087419,True,
full,has_cctv[T.True],1.3081540627332382,0.5796970698746864,0.02403203875429784,True,
full,has_marketing[T.True],0.9777432913130317,0.6770386069068105,0.14869762210860943,True,
full,has_problematic_third_party_sharing[T.True],0.6156953519711124,0.480634013890054,0.20019134204812028,True,
full,C(a30_art6_consent)[T.NOT_DISCUSSED],0.9458327122269408,0.6493628897660907,0.14523927904586514,True,
full,C(a30_art6_consent)[T.VALID],0.7640458559357777,1.3379038408815496,0.5679475782320735,True,
full,C(a31_art6_contract)[T.NOT_DISCUSSED],0.23933760442429386,1.2758882709847403,0.8512019224096901,True,
full,C(a31_art6_contract)[T.VALID],0.2342771600459106,1.8008740681655753,0.896494583610209,True,
full,C(a35_art6_legitimate_interest)[T.NOT_DISCUSSED],1.1092435165331356,0.6492759528178323,0.08755629896637575,True,
full,C(a35_art6_legitimate_interest)[T.VALID],-0.5288269376060728,0.9908224620908637,0.5935316570131736,True,
full,C(defendant_type_slim)[T.OTHER],-0.5991499663507014,0.9784168311619847,0.5402951143631736,True,
full,C(defendant_type_slim)[T.PRIVATE],-0.8816769234950428,1.3715242558438947,0.5203249580762694,True,
full,C(defendant_type_slim)[T.PUBLIC],-0.14512503699959822,0.6517897225377859,0.8238030759829,True,
full,C(defendant_type_slim)[T.UNSPECIFIED],-0.06390405856195525,1.5148093428169909,0.9663502590125801,True,
full,C(a9_enterprise_size)[T.NOT_DISCUSSED],-4.902853990030501,1.3041952295450634,0.00017039315123066007,True,
full,C(a9_enterprise_size)[T.SME],-0.8677367234137083,0.8424101700467114,0.30297977708994184,True,
full,C(a9_enterprise_size)[T.UNKNOWN],-2.6865837662893393,0.5304110641304355,4.081913302465005e-07,True,
full,C(a9_enterprise_size)[T.VERY_LARGE],0.38335839391376236,0.7877653126143067,0.6265132179235046,True,
full,C(a11_defendant_role)[T.JOINT_CONTROLLER],-2.892539461537057,1.4571665236531386,0.04713959187863437,True,
full,C(a11_defendant_role)[T.NOT_DISCUSSED],-0.4408328475805219,1.723091661555727,0.7980756959346664,True,
full,C(a11_defendant_role)[T.NOT_MENTIONED],-0.5264778811895672,0.937299358371333,0.5743227378669733,True,
full,C(a11_defendant_role)[T.PROCESSOR],0.10989034486208671,1.5973137747113535,0.9451512314485891,True,
full,a4_decision_year,0.00019886213461622003,0.0007283360266205365,0.7848253533635058,True,
full,Group Var,0.0,,,True,
no_contexts,Intercept,9.507251928638562,2.644336168974517,0.0003239849792860159,True,
no_contexts,C(a30_art6_consent)[T.NOT_DISCUSSED],-0.0714269344541334,0.5992901313630292,0.9051280761503999,True,
no_contexts,C(a30_art6_consent)[T.VALID],-0.36545201504401437,1.492433392157423,0.806557168824957,True,
no_contexts,C(a31_art6_contract)[T.NOT_DISCUSSED],0.07503715730983015,1.3156958965389807,0.9545194688208957,True,
no_contexts,C(a31_art6_contract)[T.VALID],-0.09406066726111353,1.8122209857534979,0.9586055611136914,True,
no_contexts,C(a35_art6_legitimate_interest)[T.NOT_DISCUSSED],-0.026167899148495564,0.6409765042352756,0.967435367356284,True,
no_contexts,C(a35_art6_legitimate_interest)[T.VALID],-1.7084987945086385,1.058296615874676,0.10644381784952232,True,
no_contexts,C(defendant_type_slim)[T.OTHER],-1.2245032562607225,1.0689175487131413,0.25197955291248086,True,
no_contexts,C(defendant_type_slim)[T.PRIVATE],-0.9188483433941859,1.4645263740058705,0.5303950557568273,True,
no_contexts,C(defendant_type_slim)[T.PUBLIC],-0.6761905416856326,0.7035533947577206,0.3364980494829698,True,
no_contexts,C(defendant_type_slim)[T.UNSPECIFIED],-0.6281754633068364,1.7469962376431498,0.7191652853586616,True,
no_contexts,C(a9_enterprise_size)[T.NOT_DISCUSSED],-5.482497241763259,1.3875037491126063,7.771524858316239e-05,True,
no_contexts,C(a9_enterprise_size)[T.SME],-0.6779679440634576,0.8043356800298866,0.3992889635288488,True,
no_contexts,C(a9_enterprise_size)[T.UNKNOWN],-3.6602298288236916,0.5519394181404728,3.321148131705262e-11,True,
no_contexts,C(a9_enterprise_size)[T.VERY_LARGE],0.000406481431532196,0.793785130208031,0.9995914193502048,True,
no_contexts,C(a11_defendant_role)[T.JOINT_CONTROLLER],-0.6836030440690359,1.5408658994921127,0.6572966414445277,True,
no_contexts,C(a11_defendant_role)[T.NOT_DISCUSSED],-0.2084142253378312,2.020786205642401,0.9178556543273938,True,
no_contexts,C(a11_defendant_role)[T.NOT_MENTIONED],-0.30371203218080994,1.0958578221070332,0.7816684079808469,True,
no_contexts,C(a11_defendant_role)[T.PROCESSOR],-0.6937792981236485,1.5164183009157093,0.6473032077520048,True,
no_contexts,a4_decision_year,0.0003501749360709988,0.0008369139027568088,0.6756458129164371,True,
no_contexts,Group Var,0.5684889706215235,0.1613192890420035,0.00042508627750960164,True,
no_legal_basis,Intercept,2.0242229649419463e-16,,,True,
no_legal_basis,has_employee_monitoring[T.True],0.17692441243598483,0.6058785871779858,0.770276698835486,True,
no_legal_basis,has_cctv[T.True],1.302814904193393,0.5740577384398421,0.023238903653500138,True,
no_legal_basis,has_marketing[T.True],0.7774898982482524,0.6712624357776716,0.24676191865598918,True,
no_legal_basis,has_problematic_third_party_sharing[T.True],0.6140877258878376,0.4693137233210058,0.19071047784932482,True,
no_legal_basis,C(defendant_type_slim)[T.OTHER],-0.4562391521363451,0.9738888237277735,0.639447451677167,True,
